"Install_Dates","campaign_id","Country","installs","spends"
"2020-04-14","90570","CZ","35","19.79"
"2020-04-28","90619","AT","5","4.99"
"2020-05-10","794235","PK","79","0.4"
"2020-05-07","91872","FR","12","9.56"
"2020-04-03","19115","JP","6","3.39"
"2020-03-27","19115","UA","221","38.84"
"2020-05-14","19115","HK","1","0.11"
"2020-05-04","794235","LA","7","0.04"
"2020-05-05","794235","BD","41","0.2"
"2020-04-13","790424","RU","181","43.19"
"2020-04-24","161569","US","8","5"
"2020-05-15","792410","TR","25","0.5"
"2020-03-24","788583","KR","127","38.4"
"2020-04-08","789470","PL","150","15"
"2020-03-29","92492","HR","4","0.06"
"2020-04-15","92708","JP","7","21.38"
"2020-04-20","794235","KG","6","0.03"
"2020-05-15","794235","EC","12","0.1"
"2020-04-16","94342","SE","1","0.55"
"2020-04-23","794235","UY","3","0.02"
"2020-05-06","794235","LK","3","0.02"
"2020-04-30","794235","BO","7","0.04"
"2020-03-25","19115","UK","19","29.54"
"2020-05-04","22083","IT","8","0.64"
"2020-04-05","95659","US","25","59.23"
"2020-04-03","158519","UA","1","0.04"
"2020-04-29","93619","NO","15","44.19"
"2020-04-08","787112","CL","9","0.51"
"2020-04-16","791300","UA","4","0.17"
"2020-04-17","160483","KR","25","20.41"
"2020-04-13","788894","LV","4","0.52"
"2020-05-14","19115","IE","3","0.66"
"2020-04-17","93399","NL","27","14.21"
"2020-05-09","792410","AR","177","3.36"
"2020-04-26","93027","KR","7","7.15"
"2020-05-06","791179","UA","13","3.95"
"2020-05-01","95040","UA","147","37.22"
"2020-04-05","93101","KR","3","0.46"
"2020-04-24","90619","DE","74","69.35"
"2020-05-18","794235","DO","8","0.05"
"2020-04-21","794235","GT","5","0.02"
"2020-04-19","791455","UA","36","7.4"
"2020-05-02","94248","QA","0","0.19"
"2020-05-17","794235","KN","1","0.01"
"2020-04-27","788127","IN","26","1.03"
"2020-04-23","90375","CH","8","19.48"
"2020-04-11","19115","RO","37","7.54"
"2020-04-09","792107","PH","192","14.06"
"2020-05-05","794235","MM","18","0.08"
"2020-04-15","19115","CZ","5","1.85"
"2020-04-15","786995","CH","56","54.7"
"2020-04-18","786843","BY","6","0.34"
"2020-04-28","160483","JP","46","40.22"
"2020-05-18","794235","HT","2","0.02"
"2020-05-08","788709","KZ","6","0.7"
"2020-04-22","790592","SK","130","26.59"
"2020-03-27","95842","UN","0","0.1"
"2020-05-05","787481","DE","1","0.59"
"2020-04-19","90039","BE","1","2.4"
"2020-04-18","790678","TW","31","20.97"
"2020-05-15","792410","VN","26","0.37"
"2020-04-01","788454","JP","17","4.31"
"2020-05-13","789909","RU","95","14.95"
"2020-05-02","794235","LB","28","0.15"
"2020-05-04","794235","BF","3","0.02"
"2020-04-15","22083","TW","2","0.31"
"2020-03-20","94692","UA","12","2.95"
"2020-04-18","22083","UNKNOWN","0","10.94"
"2020-04-28","792410","CG","16","0.28"
"2020-04-22","788298","IT","5","0.62"
